# resolution_mm=5
# Bone interior particle positions [mm]  (stl=Sawbone.STL, count=3416)
# x_mm,y_mm,z_mm
35.158862,100.119083,40.076287
35.158800,100.119145,45.076226
35.158834,105.119126,30.076252
35.158805,105.119155,35.076277
35.158807,105.119034,40.076320
35.158867,105.119045,45.076313
35.158816,110.119010,35.076225
35.158863,110.119125,40.076236
35.158869,110.119119,45.076180
35.158777,115.119042,35.076194
35.158867,115.119176,40.076295
35.158848,115.119161,45.076353
35.158910,120.119131,35.076191
35.158819,120.119157,40.076240
35.158806,125.119107,35.076311
35.158788,125.119025,40.076317
35.158742,130.119034,40.076317
35.158796,415.119046,25.076278
35.158876,415.119137,30.076296
35.158870,415.119200,35.076368
35.158722,420.119083,15.076359
35.158893,420.119200,20.076237
35.158868,420.119034,25.076210
35.158773,420.119063,30.076320
35.158868,420.119187,35.076169
35.158752,420.119190,40.076276
35.158737,420.119146,45.076361
35.158836,425.119098,10.076202
35.158842,425.119008,15.076307
35.158894,425.119086,20.076256
35.158883,425.119092,25.076191
35.158806,425.119081,30.076283
35.158806,425.119171,35.076276
35.158811,425.119050,40.076360
35.158900,425.119040,45.076281
35.158730,430.119166,10.076180
35.158752,430.119024,15.076241
35.158783,430.119137,20.076294
35.158839,430.119133,25.076326
35.158918,430.119016,30.076357
35.158835,430.119079,35.076216
35.158807,430.119005,40.076332
35.158791,430.119147,45.076276
35.158905,430.119092,50.076303
35.158855,435.119151,10.076190
35.158831,435.119102,15.076301
35.158784,435.119018,20.076354
35.158767,435.119107,25.076274
35.158803,435.119068,30.076262
35.158777,435.119156,35.076354
35.158869,435.119040,40.076293
35.158729,435.119066,45.076213
35.158894,435.119096,50.076306
35.158759,440.119134,15.076273
35.158720,440.119074,20.076187
35.158906,440.119056,25.076357
35.158756,440.119113,30.076352
35.158780,440.119200,35.076310
35.158882,440.119086,40.076232
35.158729,440.119107,45.076334
35.158747,445.119191,15.076210
35.158916,445.119157,20.076348
35.158818,445.119137,25.076288
35.158737,445.119060,30.076326
35.158798,445.119011,35.076214
35.158767,445.119059,40.076345
35.158889,445.119173,45.076221
35.158808,450.119108,25.076219
35.158845,450.119007,30.076250
35.158911,450.119063,35.076182
35.158837,450.119182,40.076171
40.158864,15.119090,25.076187
40.158879,15.119181,30.076302
40.158742,15.119120,35.076265
40.158852,15.119021,40.076233
40.158829,15.119067,45.076330
